Manufacturer,ModelName,ModelNumber,kW,kWh,ProductURL,PictureURL
VitalLog,Medical Grade Backup Battery 7 kWh,VL-UPS-US-7KW,7.0,7.169,https://k2sci.com/products/7kw-battery-backup,https://7387985.fs1.hubspotusercontent-na1.net/hubfs/7387985/K2%20Products/Battery%20Backups/Battery%207kwh.png
VitalLog,Medical Cold Storage Battery Backup 14 kWh,VL-UPS-US-14KW,14.0,14.336,https://k2sci.com/products/vl-battery-backup-system-14kw,https://7387985.fs1.hubspotusercontent-na1.net/hubfs/7387985/K2%20Products/Battery%20Backups/UPS-14kWh.png

